Temática,Processo SEI,Publicação mais recente,Colegiado,Membro,Função,Tipo
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,OTAVIO SOUZA E ROCHA DIAS MACIEL,Membro titular,Grupo de Trabalho
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,ANUBIA DA COSTA TEIXEIRA,Membro titular,Grupo de Trabalho
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,ROBSON MONTEGOMERI RIBEIRO LUSTOSA,Membro titular,Grupo de Trabalho
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,GOR LEAL SOUZA,Membro titular,Grupo de Trabalho
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,FERNANDO LIMA MADEIRA,Membro titular,Grupo de Trabalho
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,GUILHERME BRUNO DE LIMA,Membro titular,Grupo de Trabalho
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,ADAM SMITH GONTIJO BRITO DE ASSIS,Membro titular,Grupo de Trabalho
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,ANE CRISTINA ULIANA PERTELE,Membro titular,Grupo de Trabalho
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,FLÁVIA KANITZ,Membro titular,Grupo de Trabalho
Tecnologia da Informação,04030-00000149/2022-89,"ORDEM DE SERVIÇO Nº 52, DE 04 DE NOVEMBRO DE 2024",Comitê Gestor de Tecnologia e Comunicação - CGTI,THIAGO OLIVEIRA TEIXEIRA,Presidente,Comitê
Tecnologia da Informação,04030-00000149/2022-89,"ORDEM DE SERVIÇO Nº 52, DE 04 DE NOVEMBRO DE 2024",Comitê Gestor de Tecnologia e Comunicação - CGTI,GUSTAVO CESAR DE ALMEIDA,Membro titular,Comitê
Tecnologia da Informação,04030-00000149/2022-89,"ORDEM DE SERVIÇO Nº 52, DE 04 DE NOVEMBRO DE 2024",Comitê Gestor de Tecnologia e Comunicação - CGTI,FELIPE SALOMÃO CARDOSO,Membro titular,Comitê
Tecnologia da Informação,04030-00000149/2022-89,"ORDEM DE SERVIÇO Nº 52, DE 04 DE NOVEMBRO DE 2024",Comitê Gestor de Tecnologia e Comunicação - CGTI,FERNANDA AUGUSTA SANTOS ESCOSSIA DE OLIVEIRA,Membro titular,Comitê
Tecnologia da Informação,04030-00000149/2022-89,"ORDEM DE SERVIÇO Nº 52, DE 04 DE NOVEMBRO DE 2024",Comitê Gestor de Tecnologia e Comunicação - CGTI,EDUARDO CABRAL GOLFETTO,Membro titular,Comitê
Tecnologia da Informação,04030-00000149/2022-89,"ORDEM DE SERVIÇO Nº 52, DE 04 DE NOVEMBRO DE 2024",Comitê Gestor de Tecnologia e Comunicação - CGTI,TATIANA SANTOS DE LIMA,Membro titular,Comitê
Tecnologia da Informação,04030-00000149/2022-89,"ORDEM DE SERVIÇO Nº 52, DE 04 DE NOVEMBRO DE 2024",Comitê Gestor de Tecnologia e Comunicação - CGTI,JULIANO SPOSITO GALDINO,Membro titular,Comitê
Tecnologia da Informação,04030-00000149/2022-89,"ORDEM DE SERVIÇO Nº 52, DE 04 DE NOVEMBRO DE 2024",Comitê Gestor de Tecnologia e Comunicação - CGTI,EDI SILVA PIRES,Membro titular,Comitê
Tecnologia da Informação,04030-00000149/2022-89,"ORDEM DE SERVIÇO Nº 52, DE 04 DE NOVEMBRO DE 2024",Comitê Gestor de Tecnologia e Comunicação - CGTI,ZANANDREA MEDEIROS NASCIMENTO,Membro titular,Comitê
Tecnologia da Informação,04030-00000429/2025-30,"INSTRUÇÃO Nº 19, DE 28 DE MARÇO DE 2025",Subcomitê Gestor de Transformação Digital (SCTD),ALAN SILVA MACEDO,Membro titular,Outros
Tecnologia da Informação,04030-00000429/2025-30,"INSTRUÇÃO Nº 19, DE 28 DE MARÇO DE 2025",Subcomitê Gestor de Transformação Digital (SCTD),JULIANO SPOSITO GALDINO,Membro titular,Outros
Administrativo,04030-00000429/2025-30,"INSTRUÇÃO Nº 19, DE 28 DE MARÇO DE 2025",Subcomitê Gestor de Transformação Digital (SCTD),IGOR LEAL SOUZA,Membro titular,Outros
Administrativo,04030-00000065/2022-45,"Instrução Nº 10, de 25 de fevereiro de 2025",Comissão do SEI,JULIANO SPOSITO GALDINO,Membro titular,Comissão
Administrativo,04030-00000065/2022-45,"Instrução Nº 10, de 25 de fevereiro de 2025",Comissão do SEI,LARISSA CINTHIA DA SILVA BARRETO LIMA,Membro titular,Comissão
Administrativo,04030-00000065/2022-45,"Instrução Nº 10, de 25 de fevereiro de 2025",Comissão do SEI,RICARDO BRITO DOS SANTOS,Membro titular,Comissão
Administrativo,04030-00000065/2022-45,"Instrução Nº 10, de 25 de fevereiro de 2025",Comissão do SEI,GUSTAVO CÉSAR DE ALMEIDA,Membro titular,Comissão
Tecnologia da Informação,04030-00000623/2023-53,"ORDEM DE SERVIÇO Nº 03, DE 04 DE MARÇO DE 2024",Comissão de Implantação do SolisGE,FRANCISCO CARLOS SALES JÚNIOR,Presidente,Comissão
Tecnologia da Informação,04030-00000623/2023-53,"ORDEM DE SERVIÇO Nº 03, DE 04 DE MARÇO DE 2024",Comissão de Implantação do SolisGE,FLAVIO MASCARENHAS RORIZ PEDROSA,Membro titular,Comissão
Tecnologia da Informação,04030-00000623/2023-53,"ORDEM DE SERVIÇO Nº 03, DE 04 DE MARÇO DE 2024",Comissão de Implantação do SolisGE,CLAUDIA ROSA MENDONÇA,Membro titular,Comissão
Parcerias institucionais,04030-00001515/2023-06,"INSTRUÇÃO Nº 15, DE 03 DE ABRIL DE 2024",Comissão de Monitoramento e Avaliação das parcerias com OSCIPs - CMAP,EDELISE MARIA CARVALHO SILVA,Membro titular,Comissão
Parcerias institucionais,04030-00001515/2023-06,"INSTRUÇÃO Nº 15, DE 03 DE ABRIL DE 2024",Comissão de Monitoramento e Avaliação das parcerias com OSCIPs - CMAP,PEDRO RODRIGUES DE ALENCAR,Membro titular,Comissão
Parcerias institucionais,04030-00001515/2023-06,"INSTRUÇÃO Nº 15, DE 03 DE ABRIL DE 2024",Comissão de Monitoramento e Avaliação das parcerias com OSCIPs - CMAP,LIDIANE SOUSA DE ALBUQUERQUE,Membro titular,Comissão
Parcerias institucionais,04030-00001515/2023-06,"INSTRUÇÃO Nº 15, DE 03 DE ABRIL DE 2024",Comissão de Monitoramento e Avaliação das parcerias com OSCIPs - CMAP,RICARDO BRITO DOS SANTOS,Membro titular,Comissão
Parcerias institucionais,04030-00001515/2023-06,"INSTRUÇÃO Nº 15, DE 03 DE ABRIL DE 2024",Comissão de Monitoramento e Avaliação das parcerias com OSCIPs - CMAP,GIOVANNI GRASSI,Membro titular,Comissão
Parcerias institucionais,00193-00000308/2019-17,"INSTRUÇÃO Nº 37, DE 11 DE MARÇO DE 2024","Comissão Executora da UnDF com a NOVACAP, BIOTIC e FAPDF (Construção Campus na BIOTIC)",RICARDO BRITO DOS SANTOS,Membro titular,Comissão
Parcerias institucionais,00193-00000308/2019-17,"INSTRUÇÃO Nº 37, DE 11 DE MARÇO DE 2024","Comissão Executora da UnDF com a NOVACAP, BIOTIC e FAPDF (Construção Campus na BIOTIC)",LEANDRO FEITOZA RODRIGUES,Membro titular,Comissão
Parcerias institucionais,00193-00000308/2019-17,"INSTRUÇÃO Nº 37, DE 11 DE MARÇO DE 2024","Comissão Executora da UnDF com a NOVACAP, BIOTIC e FAPDF (Construção Campus na BIOTIC)",ANA CRISTINA GONÇALVES PENA,Membro titular,Comissão
Parcerias institucionais,00193-00000308/2019-17,"INSTRUÇÃO Nº 37, DE 11 DE MARÇO DE 2024","Comissão Executora da UnDF com a NOVACAP, BIOTIC e FAPDF (Construção Campus na BIOTIC)",WALDIKE SILVA SOUTO,Membro titular,Comissão
Parcerias institucionais,00193-00000308/2019-17,"INSTRUÇÃO Nº 37, DE 11 DE MARÇO DE 2024","Comissão Executora da UnDF com a NOVACAP, BIOTIC e FAPDF (Construção Campus na BIOTIC)",MARIA DO CARMO CAMPOS,Membro titular,Comissão
Parcerias institucionais,00193-00000308/2019-17,"INSTRUÇÃO Nº 37, DE 11 DE MARÇO DE 2024","Comissão Executora da UnDF com a NOVACAP, BIOTIC e FAPDF (Construção Campus na BIOTIC)",CAETANO BARROSO DE OLIVEIRA,Membro titular,Comissão
Parcerias institucionais,00193-00000308/2019-17,"INSTRUÇÃO Nº 37, DE 11 DE MARÇO DE 2024","Comissão Executora da UnDF com a NOVACAP, BIOTIC e FAPDF (Construção Campus na BIOTIC)",WILLAMY MAMEDE DA SILVA DIAS,Membro titular,Comissão
Parcerias institucionais,00193-00000308/2019-17,"INSTRUÇÃO Nº 37, DE 11 DE MARÇO DE 2024","Comissão Executora da UnDF com a NOVACAP, BIOTIC e FAPDF (Construção Campus na BIOTIC)",MARCO AURÉLIO SOARES SALGADO,Membro titular,Comissão
Administrativo,04030-00000869/2022-44,"PORTARIA Nº 09, DE 21 DE DEZEMBRO DE 2022",Comissão de Gestão da Coleta Seletiva Solidária – CGCSS,CLEBER CASIMIRO SILVEIRA,Membro titular,Comissão
Administrativo,04030-00000869/2022-44,"PORTARIA Nº 09, DE 21 DE DEZEMBRO DE 2022",Comissão de Gestão da Coleta Seletiva Solidária – CGCSS,FAUSTO PFAHL,Membro titular,Comissão
Administrativo,04030-00000869/2022-44,"PORTARIA Nº 09, DE 21 DE DEZEMBRO DE 2022",Comissão de Gestão da Coleta Seletiva Solidária – CGCSS,LUCIANA DO COUTO NUNES JACOBINA,Membro titular,Comissão
Acadêmico,04030-00001450/2026-33,"INSTRUÇÃO Nº 23, DE 11 DE JUNHO DE 2026",Grupo de Trabalho para implantação do Repositório Institucional da UnDF,Gabriela Freitas de Paiva,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001450/2026-33,"INSTRUÇÃO Nº 23, DE 11 DE JUNHO DE 2026",Grupo de Trabalho para implantação do Repositório Institucional da UnDF,Luiza Martins Santana Araújo,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001450/2026-33,"INSTRUÇÃO Nº 23, DE 11 DE JUNHO DE 2026",Grupo de Trabalho para implantação do Repositório Institucional da UnDF,Ana Cristina de Almeida,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001450/2026-33,"INSTRUÇÃO Nº 23, DE 11 DE JUNHO DE 2026",Grupo de Trabalho para implantação do Repositório Institucional da UnDF,Rosinaldo Barbosa da Silva,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001450/2026-33,"INSTRUÇÃO Nº 23, DE 11 DE JUNHO DE 2026",Grupo de Trabalho para implantação do Repositório Institucional da UnDF,Juliano Sposito Galdino,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001450/2026-33,"INSTRUÇÃO Nº 23, DE 11 DE JUNHO DE 2026",Grupo de Trabalho para implantação do Repositório Institucional da UnDF,Giovanni Grassi,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001450/2026-33,"INSTRUÇÃO Nº 23, DE 11 DE JUNHO DE 2026",Grupo de Trabalho para implantação do Repositório Institucional da UnDF,Frank Nely Peres Alves,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001450/2026-33,"INSTRUÇÃO Nº 23, DE 11 DE JUNHO DE 2026",Grupo de Trabalho para implantação do Repositório Institucional da UnDF,Taise Alves Borges Silva,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Alessandra Edver Mello dos Santos,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Caroline Nunes Silva,Coordenadora,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Juliano Sposito Galdino,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Giovanni Grassi,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Maria da Cruz Lobo Portela,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Fernanda Augusta Santos Escossia de Oliveira,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Rosângela Lopez Cruzeiro Peixoto,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Richard James Lopes de Abreu,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Elaine dos Santos Jacob,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Flávio Mascarenhas Roriz Pedrosa,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Marjorie Gonçalves Andersen Trindade,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,"Enam Lima Pires,",Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,"Walace Roza Abreu,",Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Givael Lima da Silva,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Anderson Ferreira da Silva,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Danubia da Costa Teixeira,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Sula Salani Mota,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001660/2025-41,"INSTRUÇÃO Nº 47, DE 1º DE SETEMBRO DE 2025",Grupo de Trabalho do Recredenciamento da Universidade,Douglas Leite Piasson,Membro titular,Grupo de Trabalho
